Marca temporal,He leído el consentimiento informado y acepto participar en estas condiciones.,Tu rol dentro del sistema,¿Habías respondido antes este cuestionario en papel?,Creo que me gustaría utilizar este sistema con frecuencia.,Encontré el sistema innecesariamente complejo.,Pensé que el sistema era fácil de usar.,Creo que necesitaría el apoyo de un técnico para poder utilizar este sistema.,Encontré que las diversas funciones de este sistema estaban bien integradas.,Pensé que había demasiada inconsistencia en este sistema.,Imagino que la mayoría de las personas aprenderían a usar este sistema muy rápidamente.,Encontré el sistema muy pesado/incómodo de usar.,Me sentí muy confiado/seguro al usar el sistema.,Necesité aprender muchas cosas antes de poder empezar a usar este sistema.
18/09/2026 11:36:04,"Sí, acepto participar",Estudiante,No,4,3,4,3,4,5,3,5,3,5
18/09/2026 12:20:15,"Sí, acepto participar",Docente,No,5,4,5,3,5,3,4,2,4,5
18/09/2026 13:06:23,"Sí, acepto participar",Coordinador,No,3,2,4,5,3,5,3,4,3,5
18/09/2026 13:46:47,"Sí, acepto participar",Estudiante,No,2,3,4,5,3,4,3,5,4,5
18/09/2026 14:02:21,"Sí, acepto participar",Administrador,No,3,2,3,3,5,2,4,2,3,4
18/09/2026 14:48:42,"Sí, acepto participar",Estudiante,No,4,2,5,4,4,3,5,4,2,4
18/09/2026 15:01:18,"Sí, acepto participar",Coordinador,No recuerdo,5,3,4,2,3,3,4,3,4,4
18/09/2026 15:39:42,"Sí, acepto participar",Docente,No,3,4,5,3,4,2,3,2,4,4
18/09/2026 15:50:25,"Sí, acepto participar",Estudiante,No,2,4,2,5,4,4,3,4,5,2
18/09/2026 16:01:31,"Sí, acepto participar",Docente,No,2,3,4,2,4,4,2,3,5,2
18/09/2026 16:21:48,"Sí, acepto participar",Estudiante,No,3,3,2,4,3,4,2,4,4,4
18/09/2026 16:32:13,"Sí, acepto participar",Docente,No,4,3,4,2,5,2,4,3,5,3
18/09/2026 16:42:40,"Sí, acepto participar",Estudiante,No,3,2,1,4,3,3,2,4,3,1
18/09/2026 16:52:00,"Sí, acepto participar",Docente,No,5,3,4,2,4,2,4,3,4,5
18/09/2026 16:56:21,"Sí, acepto participar",Estudiante,No,2,4,2,4,3,2,4,3,4,2
