respuesta,rol,respondio_en_papel,marca_tiempo_servidor,fecha_verificable,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,sus_score
1,Estudiante,No,18/09/2026 11:36:04,si,4,3,4,3,4,5,3,5,3,5,42.5
2,Docente,No,18/09/2026 12:20:15,si,5,4,5,3,5,3,4,2,4,5,65.0
3,Coordinador,No,18/09/2026 13:06:23,si,3,2,4,5,3,5,3,4,3,5,37.5
4,Estudiante,No,18/09/2026 13:46:47,si,2,3,4,5,3,4,3,5,4,5,35.0
5,Administrador,No,18/09/2026 14:02:21,si,3,2,3,3,5,2,4,2,3,4,62.5
6,Estudiante,No,18/09/2026 14:48:42,si,4,2,5,4,4,3,5,4,2,4,57.5
7,Coordinador,No recuerdo,18/09/2026 15:01:18,si,5,3,4,2,3,3,4,3,4,4,62.5
8,Docente,No,18/09/2026 15:39:42,si,3,4,5,3,4,2,3,2,4,4,60.0
9,Estudiante,No,18/09/2026 15:50:25,si,2,4,2,5,4,4,3,4,5,2,42.5
10,Docente,No,18/09/2026 16:01:31,si,2,3,4,2,4,4,2,3,5,2,57.5
11,Estudiante,No,18/09/2026 16:21:48,si,3,3,2,4,3,4,2,4,4,4,37.5
12,Docente,No,18/09/2026 16:32:13,si,4,3,4,2,5,2,4,3,5,3,72.5
13,Estudiante,No,18/09/2026 16:42:40,si,3,2,1,4,3,3,2,4,3,1,45.0
14,Docente,No,18/09/2026 16:52:00,si,5,3,4,2,4,2,4,3,4,5,65.0
15,Estudiante,No,18/09/2026 16:56:21,si,2,4,2,4,3,2,4,3,4,2,50.0
